X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;Y
1;46.67;0.46;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.415;0;0;11;0;1;0;0;440;6;1
1;58.33;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;14;1;1;0;0;0;1602;1
0;37.33;6.5;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4.25;0;0;12;0;1;0;0;93;0;1
0;23.08;2.5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.085;0;0;11;0;1;0;0;60;2184;1
0;32.75;1.5;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5.5;0;0;3;0;1;0;0;0;0;1
1;21.67;11.5;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;1;0;0;0;0;1
1;28.5;3.04;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2.54;0;0;1;1;1;0;0;70;0;1
1;68.67;15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;14;1;1;0;0;0;3376;1
0;28;2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4.165;0;0;2;0;1;0;0;181;0;1
0;34.08;0.08;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.04;0;0;1;0;1;0;0;280;2000;1
0;27.67;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4;1;1;0;0;140;7544;1
0;44;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.75;0;0;2;0;1;0;0;0;15;1
0;25.08;1.71;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1.665;0;0;1;0;1;0;0;395;20;1
0;32;1.75;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0.04;0;1;0;0;1;0;0;393;0;1
1;60.58;16.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;1;0;0;1;0;0;21;10561;1
1;40.83;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.75;0;1;0;1;1;0;0;29;837;1
0;19.33;9.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;60;400;1
1;32.33;0.54;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.04;0;1;0;1;1;0;0;440;11177;1
0;36.67;3.25;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;1;0;0;1;0;0;102;639;1
0;37.5;1.125;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.5;1;1;0;0;1;0;0;431;0;1
1;25.08;2.54;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0.25;0;1;0;0;1;0;0;370;0;1
0;41.33;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;1;0;1;1;0;0;0;0;1
0;56;12.5;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;1;0;0;1;0;0;24;2028;1
1;49.83;13.585;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8.5;0;1;0;0;1;0;0;0;0;1
0;22.67;10.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.335;0;1;0;1;1;0;0;100;0;1
0;27;1.5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.375;0;1;0;0;1;0;0;260;1065;1
0;25;12.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;20;0;1
1;26.08;8.665;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1.415;0;1;0;1;1;0;0;160;150;1
1;18.42;9.25;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.21;0;0;4;1;1;0;0;60;540;1
0;20.17;8.17;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1.96;0;0;14;1;1;0;0;60;158;1
0;47.67;0.29;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;20;1;1;0;0;0;15000;1
1;21.25;2.335;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.5;0;0;4;1;0;0;1;80;0;1
1;20.67;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.165;0;0;3;1;1;0;0;100;6;1
1;57.08;19.5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5.5;0;0;7;1;1;0;0;0;3000;1
1;22.42;5.665;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2.585;0;0;7;1;1;0;0;129;3257;1
0;48.75;8.5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;12.5;0;0;9;1;1;0;0;181;1655;1
0;40;6.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3.5;0;0;1;1;1;0;0;0;500;1
0;40.58;5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;7;1;1;0;0;0;3065;1
1;28.67;1.04;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2.5;0;0;5;0;1;0;0;300;1430;1
1;33.08;4.625;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.625;0;0;2;1;1;0;0;0;0;1
0;21.33;10.5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;1
0;42;0.205;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5.125;0;1;0;1;1;0;0;400;0;1
0;41.75;0.96;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2.5;0;1;0;1;1;0;0;510;600;1
0;22.67;1.585;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3.085;0;0;6;1;1;0;0;80;0;1
0;34.5;4.04;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8.5;0;0;7;0;1;0;0;195;0;1
0;28.25;5.04;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.5;0;0;8;0;1;0;0;144;7;1
0;33.17;3.165;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3.165;0;0;3;0;1;0;0;380;0;1
0;48.17;7.625;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;15.5;0;0;12;1;1;0;0;0;790;1
0;27.58;2.04;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;3;0;1;0;0;370;560;1
0;22.58;10.04;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0.04;0;0;9;1;1;0;0;60;396;1
1;24.08;0.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.25;0;0;1;1;1;0;0;0;678;1
1;41.33;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2.25;0;1;0;0;1;0;0;0;300;1
0;24.83;2.75;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2.25;0;0;6;1;1;0;0;184.014771;600;1
1;20.75;10.25;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.71;0;0;2;0;1;0;0;49;0;1
0;36.33;2.125;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.085;0;0;1;1;1;0;0;50;1187;1
1;35.42;12;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;14;0;0;8;1;1;0;0;0;6590;1
1;71.58;0;0.758772;0.238304;0.002924;0.758772;0.238304;0.002924;0.201175;0.044053;0.060206;0.086637;0.014684;0.07489;0.0558;0.004405;0.114537;0.093979;0.0558;0.036711;0.079295;0.077827;0.585903;0.202643;0.086637;0.011747;0.005874;0.011747;0.008811;0.0837;0.002937;0;1;1;0;1;0;1;0;184.014771;0;1
0;28.67;9.335;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5.665;0;0;6;1;1;0;0;381;168;1
0;35.17;2.5;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4.5;0;0;7;1;1;0;0;150;1270;1
0;39.5;4.25;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6.5;0;0;16;1;1;0;0;117;1210;1
0;39.33;5.875;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;14;0;1;0;0;399;0;1
0;24.33;6.625;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5.5;0;1;0;0;0;0;1;100;0;1
0;60.08;14.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;18;0;0;15;0;1;0;0;0;1000;1
0;23.08;11.5;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3.5;0;0;9;1;1;0;0;56;742;1
0;26.67;2.71;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5.25;0;0;1;1;1;0;0;211;0;1
0;48.17;3.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3.5;0;1;0;1;0;0;1;230;0;1
0;41.17;4.04;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;8;1;1;0;0;320;0;1
0;55.92;11.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;5;0;0;5;1;1;0;0;0;8851;1
0;53.92;9.625;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;8.665;0;0;5;1;1;0;0;0;0;1
1;18.92;9.25;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4;0;1;0;0;80;500;1
1;50.08;12.54;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2.29;0;0;3;0;1;0;0;156;0;1
0;65.42;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;20;0;0;7;0;1;0;0;22;0;1
1;17.58;9;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1.375;0;1;0;0;1;0;0;0;0;1
1;18.83;9.54;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0.085;0;1;0;1;1;0;0;100;0;1
1;37.75;5.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.125;0;1;0;0;1;0;0;228;0;1
0;23.25;4;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.25;0;1;0;0;1;0;0;160;0;1
0;18.08;5.5;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.5;0;1;0;1;1;0;0;80;0;1
1;22.5;8.46;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2.46;1;1;0;1;1;0;0;164;0;1
0;19.67;0.375;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;80;0;1
0;22.08;11;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.665;0;1;0;1;1;0;0;100;0;1
0;25.17;3.5;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.625;0;0;7;1;1;0;0;0;7059;1
1;47.42;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;13.875;0;0;2;0;1;0;0;519;1704;1
0;33.5;1.75;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4.5;0;0;4;0;1;0;0;253;857;1
0;27.67;13.75;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;5.75;0;1;0;0;1;0;0;487;500;1
1;58.42;21;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;13;1;1;0;0;0;6700;1
1;20.67;1.835;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2.085;0;0;5;1;1;0;0;220;2503;1
0;26.17;0.25;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;21.33;7.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1.415;0;0;1;1;1;0;0;80;9800;1
0;42.83;4.625;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4.58;0;1;0;1;0;0;1;0;0;1
0;38.17;10.125;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2.5;0;0;6;1;1;0;0;520;196;1
0;20.5;10;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2.5;0;1;0;1;0;0;1;40;0;1
0;48.25;25.085;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1.75;0;0;3;1;1;0;0;120;14;1
0;28.33;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;1;0;0;1;0;0;70;0;1
1;18.75;7.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2.71;0;0;5;1;1;0;0;184.014771;26726;1
0;18.5;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.5;0;0;2;1;1;0;0;120;300;1
0;33.17;3.04;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.04;0;0;1;0;1;0;0;180;18027;1
0;45;8.5;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;14;0;0;1;0;1;0;0;88;2000;1
1;19.67;0.21;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.29;0;0;11;1;1;0;0;80;99;1
0.309735;24.5;12.75;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4.75;0;0;2;1;1;0;0;73;444;1
0;21.83;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0.29;0;0;6;1;1;0;0;121;0;1
0;40.25;21.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;20;0;0;11;1;1;0;0;0;1200;1
0;41.42;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;6;0;1;0;0;470;0;1
1;17.83;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;1;1;0;0;0;3000;1
0;23.17;11.125;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0.46;0;0;1;1;1;0;0;100;0;1
0;31.568171;0.625;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.25;1;1;0;1;1;0;0;380;2010;0
0;18.17;10.25;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.085;1;1;0;1;1;0;0;320;13;0
0;20;11.045;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;136;0;0
0;20;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.5;1;1;0;1;1;0;0;144;0;0
1;20.75;9.54;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.04;1;1;0;1;1;0;0;200;1000;0
1;24.5;1.75;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.165;1;1;0;1;1;0;0;132;0;0
0;32.75;2.335;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5.75;1;1;0;0;1;0;0;292;0;0
1;52.17;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0
1;48.17;1.335;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.335;1;1;0;1;1;0;0;0;120;0
1;20.42;10.5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;154;32;0
0;50.75;0.585;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;145;0;0
0;17.08;0.085;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.04;1;1;0;1;1;0;0;140;722;0
0;18.33;1.21;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;100;0;0
1;32;6;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.25;1;1;0;1;1;0;0;272;0;0
0;59.67;1.54;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.125;0;1;0;0;1;0;0;260;0;1
0;18;0.165;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.21;1;1;0;1;1;0;0;200;40;1
0;37.58;0;0.758772;0.238304;0.002924;0.758772;0.238304;0.002924;0.201175;0.044053;0.060206;0.086637;0.014684;0.07489;0.0558;0.004405;0.114537;0.093979;0.0558;0.036711;0.079295;0.077827;0.585903;0.202643;0.086637;0.011747;0.005874;0.011747;0.008811;0.0837;0.002937;0;1;1;0;1;0;1;0;184.014771;0;1
0;32.33;2.5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.25;1;1;0;0;1;0;0;280;0;0
0;18.08;6.75;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.04;1;1;0;1;1;0;0;140;0;0
0;38.25;10.125;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.125;1;1;0;1;1;0;0;160;0;0
0;30.67;2.5;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.25;1;1;0;0;0;0;1;340;0;0
0;18.58;5.71;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.54;1;1;0;1;1;0;0;120;0;0
1;19.17;5.415;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.29;1;1;0;1;1;0;0;80;484;0
1;18.17;10;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.165;1;1;0;1;1;0;0;340;0;0
0;24.58;13.5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;184.014771;0;0
0;16.25;0.835;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.085;0;1;0;1;0;0;1;200;0;0
0;21.17;0.875;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.25;1;1;0;1;1;0;0;280;204;0
0;23.92;0.585;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.125;1;1;0;1;1;0;0;240;1;0
0;17.67;4.46;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.25;1;1;0;1;0;0;1;80;0;0
1;16.5;1.25;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.25;1;0;1;1;1;0;0;108;98;0
0;23.25;12.625;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.125;1;0;2;1;1;0;0;0;5552;0
0;17.58;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0.165;1;0;1;1;1;0;0;120;1;0
1;31.568171;1.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;2;0;1;0;0;200;105;0
0;29.5;0.58;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.29;1;0;1;1;1;0;0;340;2803;0
0;18.83;0.415;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.165;1;0;1;1;1;0;0;200;1;0
1;21.75;1.75;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;160;0;0
0;23;0.75;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.5;1;1;0;0;0;0;1;320;0;0
1;18.25;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;120;1;0
0;25.42;0.54;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.165;1;0;1;1;1;0;0;272;444;0
0;35.75;2.415;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.125;1;0;2;1;1;0;0;220;1;0
1;16.08;0.335;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;160;126;0
1;31.92;3.125;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3.04;1;0;2;0;1;0;0;200;4;0
0;69.17;9;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;4;1;0;1;1;1;0;0;70;6;0
0;32.92;2.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1.75;1;0;2;0;1;0;0;720;0;0
0;16.33;2.75;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0.665;1;0;1;1;1;0;0;80;21;0
0;22.17;12.125;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3.335;1;0;2;0;1;0;0;180;173;0
